id,pred1,pred2,EM,F1
mrc-0-000065	1,668만 5천 달러,668만 5천 달러,1.0000,1.0000
mrc-0-001133	언카스(또는 다운카스, Uncas), Uncas),1.0000,1.0000
mrc-0-001728	12,,000명,0.0000,0.0000
mrc-0-001728	약 12,000명,,0.0000,0.0000
mrc-0-002028	리을설(李乙雪, 1921-2015),,0.0000,0.0000
mrc-0-002601	네덜란드의 1, 2도시, 2도시,1.0000,1.0000
mrc-0-004017	운항부주의, 방수구(放水口) 부족 등,,0.0000,0.0000
mrc-1-000086	이승만, 김구, 김구,1.0000,1.0000
mrc-1-000094	구와바라 다케오(桑原武夫, 교토대 명예교수),,0.0000,0.0000
mrc-1-000856	광역급행철도 (Regional Express Rail,, RER) 사업의 일환,0.0000,0.0000
