id,pred1,pred2,EM,F1
mrc-0-000001,강연옥,올리가 크니페르,0.0000,0.0000
mrc-0-000014,유대인,유대인,1.0000,1.0000
mrc-0-000016,스윙,스윙,1.0000,1.0000
mrc-0-000021,1862년,1862년,1.0000,1.0000
mrc-0-000028,모하메드 파라 아이디드,김 대령,0.0000,0.0000
mrc-0-000030,연두고등학교,연두고등학교,1.0000,1.0000
mrc-0-000032,2004년의 국방부 보고서,2004년의 국방부 보고서,1.0000,1.0000
mrc-0-000033,하난야,하난야,1.0000,1.0000
mrc-0-000037,미켈란젤로,미켈란젤로,1.0000,1.0000
mrc-0-000049,암울한 내용,공항관제,0.0000,0.0000
mrc-0-000062,전달판,전달판,1.0000,1.0000
mrc-0-000065,"1,668만 5천 달러","1,668만 5천 달러",1.0000,1.0000
mrc-0-000096,2009년 8월,2009년 8월,1.0000,1.0000
mrc-0-000114,코드,도메인 소유자,0.0000,0.0000
mrc-0-000122,종신형,종신형,1.0000,1.0000
mrc-0-000140,오코 카무,오코 카무가,0.0000,0.5000
mrc-0-000150,3-3,0-1,0.0000,0.0000
mrc-0-000162,레딩,AEK 아테네,0.0000,0.0000
mrc-0-000177,8명,8명,1.0000,1.0000
mrc-0-000201,블라인드 테스트,블라인드 테스트,1.0000,1.0000
mrc-0-000205,제작자 Chris Avellone,Chris Avellone,0.0000,0.8000
mrc-0-000206,2월 혁명,2월 혁명,1.0000,1.0000
mrc-0-000211,실루엣,실루엣,1.0000,1.0000
mrc-0-000246,톰 디마르코,톰 디마르코,1.0000,1.0000
mrc-0-000255,인사관리에 대한 통제권,'인사관리에 대한 통제권',1.0000,1.0000
mrc-0-000266,지방 사대부,선거인단,0.0000,0.0000
mrc-0-000283,비올라,비올라,1.0000,1.0000
mrc-0-000288,<르뷔 데 되 몽드 Revue des Deux Mondes>,<르뷔 데 되 몽드 Revue des Deux Mondes>,1.0000,1.0000
mrc-0-000304,1919년 10월 1일,1919년 10월 1일,1.0000,1.0000
mrc-0-000313,케빈 G. 린치,케빈 G. 린치,1.0000,1.0000
mrc-0-000316,후장식 대포,후장식 대포,1.0000,1.0000
mrc-0-000328,사실주의,기사도적,0.0000,0.0000
mrc-0-000339,시칠리아,시칠리아,1.0000,1.0000
mrc-0-000345,주선회,조순형,0.0000,0.0000
mrc-0-000359,프랑스,연합국,0.0000,0.0000
mrc-0-000386,카바드 2세,야즈데게르드 3세,0.0000,0.0000
mrc-0-000393,고교시절,고교시절,1.0000,1.0000
mrc-0-000394,조명록,시진핑,0.0000,0.0000
mrc-0-000395,도우카즈토시,디릭 코른헤르트,0.0000,0.0000
mrc-0-000431,자기장,자기장,1.0000,1.0000
